Ozone,Solar.R,Wind,Temp,Month,Day,Periodo
41.0,190.0,7.4,67,5,1,Primavera
36.0,118.0,8.0,72,5,2,Primavera
12.0,149.0,12.6,74,5,3,Primavera
18.0,313.0,11.5,62,5,4,Primavera
,,14.3,56,5,5,Primavera
28.0,,14.9,66,5,6,Primavera
23.0,299.0,8.6,65,5,7,Primavera
19.0,99.0,13.8,59,5,8,Primavera
8.0,19.0,20.1,61,5,9,Primavera
,194.0,8.6,69,5,10,Primavera
7.0,,6.9,74,5,11,Primavera
16.0,256.0,9.7,69,5,12,Primavera
11.0,290.0,9.2,66,5,13,Primavera
14.0,274.0,10.9,68,5,14,Primavera
18.0,65.0,13.2,58,5,15,Primavera
14.0,334.0,11.5,64,5,16,Primavera
34.0,307.0,12.0,66,5,17,Primavera
6.0,78.0,18.4,57,5,18,Primavera
30.0,322.0,11.5,68,5,19,Primavera
11.0,44.0,9.7,62,5,20,Primavera
1.0,8.0,9.7,59,5,21,Primavera
11.0,320.0,16.6,73,5,22,Primavera
4.0,25.0,9.7,61,5,23,Primavera
32.0,92.0,12.0,61,5,24,Primavera
,66.0,16.6,57,5,25,Primavera
,266.0,14.9,58,5,26,Primavera
,,8.0,57,5,27,Primavera
23.0,13.0,12.0,67,5,28,Primavera
45.0,252.0,14.9,81,5,29,Primavera
115.0,223.0,5.7,79,5,30,Primavera
37.0,279.0,7.4,76,5,31,Primavera
,286.0,8.6,78,6,1,Verano
,287.0,9.7,74,6,2,Verano
,242.0,16.1,67,6,3,Verano
,186.0,9.2,84,6,4,Verano
,220.0,8.6,85,6,5,Verano
,264.0,14.3,79,6,6,Verano
29.0,127.0,9.7,82,6,7,Verano
,273.0,6.9,87,6,8,Verano
71.0,291.0,13.8,90,6,9,Verano
39.0,323.0,11.5,87,6,10,Verano
,259.0,10.9,93,6,11,Verano
,250.0,9.2,92,6,12,Verano
23.0,148.0,8.0,82,6,13,Verano
,332.0,13.8,80,6,14,Verano
,322.0,11.5,79,6,15,Verano
21.0,191.0,14.9,77,6,16,Verano
37.0,284.0,20.7,72,6,17,Verano
20.0,37.0,9.2,65,6,18,Verano
12.0,120.0,11.5,73,6,19,Verano
13.0,137.0,10.3,76,6,20,Verano
,150.0,6.3,77,6,21,Verano
,59.0,1.7,76,6,22,Verano
,91.0,4.6,76,6,23,Verano
,250.0,6.3,76,6,24,Verano
,135.0,8.0,75,6,25,Verano
,127.0,8.0,78,6,26,Verano
,47.0,10.3,73,6,27,Verano
,98.0,11.5,80,6,28,Verano
,31.0,14.9,77,6,29,Verano
,138.0,8.0,83,6,30,Verano
135.0,269.0,4.1,84,7,1,Verano
49.0,248.0,9.2,85,7,2,Verano
32.0,236.0,9.2,81,7,3,Verano
,101.0,10.9,84,7,4,Verano
64.0,175.0,4.6,83,7,5,Verano
40.0,314.0,10.9,83,7,6,Verano
77.0,276.0,5.1,88,7,7,Verano
97.0,267.0,6.3,92,7,8,Verano
97.0,272.0,5.7,92,7,9,Verano
85.0,175.0,7.4,89,7,10,Verano
,139.0,8.6,82,7,11,Verano
10.0,264.0,14.3,73,7,12,Verano
27.0,175.0,14.9,81,7,13,Verano
,291.0,14.9,91,7,14,Verano
7.0,48.0,14.3,80,7,15,Verano
48.0,260.0,6.9,81,7,16,Verano
35.0,274.0,10.3,82,7,17,Verano
61.0,285.0,6.3,84,7,18,Verano
79.0,187.0,5.1,87,7,19,Verano
63.0,220.0,11.5,85,7,20,Verano
16.0,7.0,6.9,74,7,21,Verano
,258.0,9.7,81,7,22,Verano
,295.0,11.5,82,7,23,Verano
80.0,294.0,8.6,86,7,24,Verano
108.0,223.0,8.0,85,7,25,Verano
20.0,81.0,8.6,82,7,26,Verano
52.0,82.0,12.0,86,7,27,Verano
82.0,213.0,7.4,88,7,28,Verano
50.0,275.0,7.4,86,7,29,Verano
64.0,253.0,7.4,83,7,30,Verano
59.0,254.0,9.2,81,7,31,Verano
39.0,83.0,6.9,81,8,1,Verano
9.0,24.0,13.8,81,8,2,Verano
16.0,77.0,7.4,82,8,3,Verano
78.0,,6.9,86,8,4,Verano
35.0,,7.4,85,8,5,Verano
66.0,,4.6,87,8,6,Verano
122.0,255.0,4.0,89,8,7,Verano
89.0,229.0,10.3,90,8,8,Verano
110.0,207.0,8.0,90,8,9,Verano
,222.0,8.6,92,8,10,Verano
,137.0,11.5,86,8,11,Verano
44.0,192.0,11.5,86,8,12,Verano
28.0,273.0,11.5,82,8,13,Verano
65.0,157.0,9.7,80,8,14,Verano
,64.0,11.5,79,8,15,Verano
22.0,71.0,10.3,77,8,16,Verano
59.0,51.0,6.3,79,8,17,Verano
23.0,115.0,7.4,76,8,18,Verano
31.0,244.0,10.9,78,8,19,Verano
44.0,190.0,10.3,78,8,20,Verano
21.0,259.0,15.5,77,8,21,Verano
9.0,36.0,14.3,72,8,22,Verano
,255.0,12.6,75,8,23,Verano
45.0,212.0,9.7,79,8,24,Verano
168.0,238.0,3.4,81,8,25,Verano
73.0,215.0,8.0,86,8,26,Verano
,153.0,5.7,88,8,27,Verano
76.0,203.0,9.7,97,8,28,Verano
118.0,225.0,2.3,94,8,29,Verano
84.0,237.0,6.3,96,8,30,Verano
85.0,188.0,6.3,94,8,31,Verano
96.0,167.0,6.9,91,9,1,Otoño
78.0,197.0,5.1,92,9,2,Otoño
73.0,183.0,2.8,93,9,3,Otoño
91.0,189.0,4.6,93,9,4,Otoño
47.0,95.0,7.4,87,9,5,Otoño
32.0,92.0,15.5,84,9,6,Otoño
20.0,252.0,10.9,80,9,7,Otoño
23.0,220.0,10.3,78,9,8,Otoño
21.0,230.0,10.9,75,9,9,Otoño
24.0,259.0,9.7,73,9,10,Otoño
44.0,236.0,14.9,81,9,11,Otoño
21.0,259.0,15.5,76,9,12,Otoño
28.0,238.0,6.3,77,9,13,Otoño
9.0,24.0,10.9,71,9,14,Otoño
13.0,112.0,11.5,71,9,15,Otoño
46.0,237.0,6.9,78,9,16,Otoño
18.0,224.0,13.8,67,9,17,Otoño
13.0,27.0,10.3,76,9,18,Otoño
24.0,238.0,10.3,68,9,19,Otoño
16.0,201.0,8.0,82,9,20,Otoño
13.0,238.0,12.6,64,9,21,Otoño
23.0,14.0,9.2,71,9,22,Otoño
36.0,139.0,10.3,81,9,23,Otoño
7.0,49.0,10.3,69,9,24,Otoño
14.0,20.0,16.6,63,9,25,Otoño
30.0,193.0,6.9,70,9,26,Otoño
,145.0,13.2,77,9,27,Otoño
14.0,191.0,14.3,75,9,28,Otoño
18.0,131.0,8.0,76,9,29,Otoño
